B5,20,25,176.5900202
B30,60,10,61.10416399
B37,70,10,54.29570394
B7,20,35,190.0349638
B1,20,5,149.7001329
B6,20,30,183.312492
B41,70,30,81.18559121
B20,40,30,111.8236614
B33,60,25,81.27157944
B2,20,10,156.4226047
B9,30,10,108.7633843
B36,70,5,47.57323212
B13,30,30,135.6532716
B32,60,20,74.54910763
B10,30,15,115.4858562
B38,70,15,61.01817576
B27,50,30,97.52589533
B21,40,35,118.5461333
B23,50,10,70.63600806
B16,40,10,84.93377417
B18,40,20,98.3787178
B24,50,15,77.35847988
B19,40,25,105.1011896
B42,70,35,87.90806303
B12,30,25,128.9307998
B14,30,35,142.3757434
B22,50,5,63.91353624
B35,60,35,94.71652308
B15,40,5,78.21130235
B11,30,20,122.208328
B34,60,30,87.99405126
B4,20,20,169.8675483
B25,50,20,84.0809517
B29,60,5,54.38169217
B17,40,15,91.65624599
B8,30,5,102.0409125
B40,70,25,74.46311939
B39,70,20,67.74064758
B28,50,35,104.2483672
B31,60,15,67.82663581
B3,20,15,163.1450765
B26,50,25,90.80342352
