C14,30,35,142.3757434
C28,50,35,104.2483672
C23,50,10,70.63600806
C11,30,20,122.208328
C4,20,20,169.8675483
C33,60,25,81.27157944
C7,20,35,190.0349638
C9,30,10,108.7633843
C6,20,30,183.312492
C32,60,20,74.54910763
C42,70,35,87.90806303
C16,40,10,84.93377417
C31,60,15,67.82663581
C38,70,15,61.01817576
C29,60,5,54.38169217
C27,50,30,97.52589533
C1,20,5,149.7001329
C36,70,5,47.57323212
C26,50,25,90.80342352
C2,20,10,156.4226047
C18,40,20,98.3787178
C10,30,15,115.4858562
C20,40,30,111.8236614
C25,50,20,84.0809517
C24,50,15,77.35847988
C37,70,10,54.29570394
C21,40,35,118.5461333
C40,70,25,74.46311939
C34,60,30,87.99405126
C39,70,20,67.74064758
C5,20,25,176.5900202
C15,40,5,78.21130235
C41,70,30,81.18559121
C12,30,25,128.9307998
C3,20,15,163.1450765
C35,60,35,94.71652308
C8,30,5,102.0409125
C13,30,30,135.6532716
C30,60,10,61.10416399
C22,50,5,63.91353624
C17,40,15,91.65624599
C19,40,25,105.1011896
