practice,a8,a5,a3,a2,a7,a9,a6,a1,a4
practice,a3,a9,a4,a1,a5,a7,a2,a8,a6
practice,a2,a3,a4,a9,a6,a7,a1,a5,a8
practice,a6,a3,a5,a8,a1,a4,a7,a9,a2
practice,a6,a1,a2,a9,a8,a4,a7,a5,a3
practice,a3,a6,a2,a5,a1,a8,a7,a4,a9
practice,a7,a2,a9,a4,a8,a3,a6,a5,a1
practice,a5,a2,a4,a3,a8,a6,a1,a7,a9
practice,a3,a2,a4,a9,a7,a1,a6,a5,a8
practice,a1,a7,a6,a5,a8,a9,a4,a2,a3
practice,a4,a6,a5,a9,a2,a8,a1,a7,a3
practice,a2,a1,a9,a8,a3,a6,a4,a5,a7
practice,a7,a3,a4,a8,a6,a9,a2,a5,a1
practice,a7,a9,a1,a3,a8,a5,a4,a2,a6
practice,a2,a3,a8,a9,a5,a1,a4,a6,a7
practice,a7,a4,a8,a3,a9,a5,a6,a2,a1
practice,a4,a6,a9,a2,a7,a3,a8,a5,a1
practice,a2,a5,a3,a4,a6,a1,a9,a7,a8
practice,a1,a9,a2,a3,a5,a8,a6,a7,a4
practice,a5,a3,a2,a9,a1,a7,a4,a6,a8
,0.210718818,0.473106815,0.634820001,0.062934516,0.967639481,0.844493866,0.701359083,0.030954706,0.848622768
